Code,,LOT 번호,일련번호,품번,시험일자,운용월,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,불합격 항목,합격여부
시험항목,시험항목1,,,,,,스퀴브 점검,,배선 점검,,,,,,기본성능 점검,,,,,,,,,,,,,,최대 추적률 점검,,고착 문턱값 점검,,냉각유지시간,,
,시험항목2,,,,,,열전지스퀴브 저항,사출모터스퀴브 저항,22P-PGND,PGND-22P,22N-PGND,PGND-22N,22P-22N,22N-22P,유도제어장치 점검,,아날로그 신호 점검,,,,,,,,,,강제세차 점검,,SLAP,SLAY,SLAP,SLAY,,,
,시험항목3,,,,,,,,,,,,,,자전기동시간,자전안정화주파수,아날로그 신호 점검,,,,,,,전원 점검,,,SLAP,SLAY,,,,,,,
,시험항목4,,,,,,,,,,,,,,,,ASLAP,ASLAY,ALOSRP,ALOSRY,AVIFSC,AFROLL,AMRSIN,+5V,+15V,-15V,,,,,,,,,
,,엘넥원12자056-059가,SG 12 B885 00,81040050,2021-01-21,100,2.21,1.98,2400,600,560,2400,5800,580,2.46,99.97,1.8,2.5,2.55,2.41,0,0.01,2.49,4.99,15.05,-15.14,10.13,0.27,21.14,0.44,10.14,0.26,24,,합격
,,엘넥원12자056-059가,SG 12 B888 00,81040050,2021-01-27,100,2.12,2,1790,590,550,2410,5700,570,2.43,99.66,1.81,2.44,2.53,2.43,0,0,2.5,4.99,15.03,-15.25,9.97,0.13,21.06,0.52,9.99,0.17,21.92,,합격
,,엘넥원12아056-059가,SG 12 B903 00,81040050,2021-01-15,101,2.16,1.97,1650,580,540,2410,5800,570,2.3,99.35,1.8,2.46,2.53,2.44,0,0,2.49,5,15,-15.25,2.53,-4.38,-26.31,-1.47,-25.04,-1.7,3.4,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원12자056-059가,SG 12 B904 00,81040050,2021-01-19,100,2.11,1.95,1700,590,550,2410,5800,570,2.45,99.43,1.81,2.5,2.55,2.46,0,0.02,2.49,4.99,15,-15.29,9.78,0.25,20.74,0.54,9.81,0.23,21.32,,합격
,,엘넥원12차056-060가,SG 12 B923 00,81040050,2021-01-20,99,2.13,1.99,1800,590,540,2410,5800,560,2.37,100.8,1.77,2.45,2.53,2.46,0,0.03,2.5,4.99,14.98,-14.87,10.29,0.12,21.54,0.27,10.3,0.1,24,,합격
,,엘넥원12차056-060가,SG 12 B928 00,81040050,2021-01-21,99,2.14,1.97,1800,590,550,2400,5500,570,2.41,99.13,1.75,2.46,2.54,2.47,0,0.02,2.5,4.99,15.01,-15.31,10.02,0.28,-26.24,-0.1,10.05,0.34,24,최대추적률,불합격
,,엘넥원12차056-060가,SG 12 B929 00,81040050,2021-01-21,99,2.12,2,1550,580,550,2420,5900,560,2.49,99.33,1.83,2.51,5.54,5.4,0,0,2.49,4.99,15.01,-15.27,9.74,0.28,20.77,0.81,9.72,0.3,21.72,,합격
,,엘넥원12차056-060가,SG 12 B930 00,81040050,2021-01-21,99,2.14,2,1800,590,550,2410,5800,580,2.35,98.99,1.81,2.42,2.53,2.46,0,0,2.49,5,14.98,-15.31,9.94,0.25,21.13,0.66,9.99,0.29,24,,합격
,,엘넥원12차056-060가,SG 12 B932 00,81040050,2021-01-21,99,2.13,1.98,1790,590,550,2410,5700,580,2.62,99.4,1.82,2.45,2.63,2.4,0,0,2.5,4.99,15.03,-15.33,9.91,0.25,20.98,0.68,9.89,0.31,23.42,,합격
,,엘넥원12카056-061가,SG 12 B957 00,81040050,2021-01-22,98,2.13,1.98,1890,590,550,2410,5800,580,2.65,99.39,1.8,2.46,2.55,2.45,0,0,2.49,4.99,15,-15.27,10.02,0.2,21.14,0.78,10.05,0.31,23.99,,합격
,,엘넥원13마056-065가,SG 13 C064 00,81040050,2021-01-27,92,2.13,1.97,1890,610,580,2500,6100,590,2.55,99.46,1.83,2.49,2.53,2.42,0,0,2.49,5,15.03,-15.31,9.65,0.17,20.41,0.61,9.63,0.2,24,,합격
,,엘넥원13아056-068가,SG 13 C159 00,81040050,2021-01-19,89,2.13,1.96,1890,590,540,2400,5600,570,2.42,99.79,1.79,2.47,2.5,2.48,0,0.03,2.49,4.98,15.07,-15.23,-0.86,-1.17,-26.16,-1.61,-25.14,3.08,9.61,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원13아056-068가,SG 13 C160 00,81040050,2021-01-20,89,2.18,2,1910,600,550,2410,5800,580,2.36,99.55,1.83,2.5,2.58,2.39,0,0,2.49,4.98,15.01,-15.23,9.79,0.3,20.58,0.56,9.79,0.32,24,,합격
,,엘넥원13아056-069가,SG 13 C164 00,81040050,2021-01-19,89,2.09,2.02,1900,600,550,2410,5900,580,2.55,99.58,1.83,2.49,2.54,2.39,0,0,2.5,5,15.01,-15.23,9.8,0.26,20.62,0.87,9.74,0.32,22.82,,합격
,,엘넥원13아056-069가,SG 13 C168 00,81040050,2021-01-20,89,2.12,1.96,1900,590,550,2410,5600,580,2.41,99.52,1.84,2.45,2.57,2.37,0,0,2.49,5,15.03,-15.27,9.75,0.31,20.59,0.71,9.77,0.42,24,,합격
,,엘넥원13아056-069가,SG 13 C170 00,81040050,2021-01-19,89,2.13,1.97,1800,590,550,2400,5800,570,2.41,100.73,1.83,2.4,2.51,2.4,0,0,2.49,5,14.96,-14.79,9.74,0.2,20.67,0.68,9.7,0.24,24,,합격
,,엘넥원13자056-069가,SG 13 C171 00,81040050,2021-01-19,88,2.11,1.98,1900,600,560,2410,5900,580,2.48,100.95,1.84,2.49,2.53,2.44,0,0,2.49,4.99,14.96,-14.78,9.67,0.22,-26.1,-0.34,9.58,0.21,24,최대추적률,불합격
,,엘넥원13자056-069가,SG 13 C173 00,81040050,2021-01-28,88,2.13,1.97,1950,600,550,2410,5800,580,2.45,100.82,1.82,2.47,2.53,2.44,0,0,2.49,4.99,15,-14.81,9.72,24,20.83,0.62,9.74,0.24,23.64,,합격
,,엘넥원13자056-069가,SG 13 C183 00,81040050,2021-01-22,88,2.12,2,1950,600,560,2410,5800,580,2.59,100.9,1.85,2.49,2.54,2.41,0,0,2.49,5,15,-14.85,9.48,0.22,-26,0.45,9.44,0.28,23.92,최대추적률,불합격
